film_id,genre,release_date,title,length,rental_cost
1,comedy,2009-06-12,Establish poor while.,3.0900000000000003,9.92
2,documentary,2002-06-23,Nearly place life above international.,0.73,6.6
3,romance,2017-05-08,Traditional himself when alone laugh right three.,1.5899999999999999,6.68
4,romance,2018-11-26,Late approach region organization gas.,3.0500000000000003,0.24
5,documentary,1978-10-06,Generation join red along world sport.,2.5900000000000003,8.93
6,scifi,2016-03-10,Safe example size require.,1.14,5.89
7,documentary,2014-04-15,Much agency glass marriage him number.,2.3000000000000003,5.35
8,comedy,1996-04-29,Perform physical for economy only class.,1.28,0.18
9,comedy,1992-04-17,Middle same even board present probably woman century.,1.76,0.6
10,scifi,2002-04-30,Involve affect president network drop.,1.24,6.95
11,romance,2009-05-08,Produce use within recently budget.,3.0900000000000003,5.03
12,comedy,1992-09-10,Feel full might offer care nor.,2.6500000000000004,5.9
13,romance,1999-01-24,Require seek area task enjoy establish appear.,1.57,3.25
14,scifi,1989-03-10,Condition its the not.,2.62,2.99
15,romance,2021-08-22,Level school wall since.,1.65,7.43
16,comedy,2013-04-30,Side final region.,2.58,2.73
17,documentary,2016-02-22,Quite gun scene focus.,1.0,4.04
18,documentary,1986-02-28,Group themselves technology.,1.63,7.01
19,comedy,1993-07-12,Ask meeting economy us.,1.3399999999999999,9.21
20,romance,1991-04-28,Ok tend field skill.,2.6300000000000003,7.41
21,romance,1982-07-09,Town add decision model.,1.29,0.23
22,documentary,1996-09-09,Same down wear expect gun pull court.,1.97,8.47
23,comedy,2001-10-18,Country better card step.,1.57,9.03
24,comedy,2004-01-20,Now rule why staff.,3.14,7.31
25,documentary,1989-10-14,Believe data world suddenly side air sign majority.,1.78,0.12
26,comedy,1981-04-29,Chance author debate student news it.,1.52,1.42
27,documentary,2006-08-13,Professor job that summer.,1.17,4.45
28,comedy,1997-08-12,By he material ahead.,1.92,8.48
29,documentary,1989-05-25,Serve guess new.,1.26,6.32
30,comedy,1986-12-10,Person any middle before vote daughter baby really.,2.24,0.68
31,scifi,1983-05-10,Practice young fear remember road rise police.,1.75,8.18
32,romance,1990-09-13,Cup car attack stand.,1.32,3.56
33,scifi,2000-02-16,Those small pass.,1.5999999999999999,0.6
34,romance,2009-01-22,Worker research respond from.,0.8500000000000001,1.34
35,scifi,1995-03-08,Recognize car middle sometimes.,2.04,9.56
36,comedy,1988-01-18,Experience cup keep most simple.,0.32,3.86
37,comedy,1994-12-01,Control exactly heavy student.,0.24000000000000002,0.17
38,scifi,2015-06-14,Both agreement big shake citizen today report throw.,0.63,0.76
39,documentary,2007-03-29,Worker entire carry two.,2.49,1.32
40,romance,2000-02-13,Cut energy push up.,2.21,8.48
41,romance,1982-09-18,Real wait never because hospital sing should.,0.49,5.91
42,documentary,1991-10-13,We bad history.,0.8200000000000001,9.64
43,romance,2011-05-28,International soldier loss employee many.,1.8,0.16
44,documentary,2002-08-05,Another among down individual issue probably.,2.45,7.08
45,documentary,1990-12-24,Answer condition present really concern.,2.68,7.28
46,romance,2012-04-18,Sit walk actually follow return commercial similar.,0.71,2.26
47,romance,2018-09-24,Power simply commercial small energy try.,0.36,6.05
48,romance,2019-12-09,Left that news lawyer card.,1.05,7.94
49,comedy,1989-02-18,Later herself drug.,0.55,5.88
50,comedy,1991-04-13,Kid last long option.,0.38,1.94
51,documentary,1981-04-01,Prepare about four different mind religious president.,0.51,9.04
52,comedy,2000-08-01,Represent speech night responsibility thank look catch.,1.46,5.0
53,scifi,2002-07-19,Let college check network research.,2.9000000000000004,4.03
54,scifi,1995-06-11,Open cold newspaper against activity out.,0.75,8.59
55,documentary,1990-08-10,Citizen series tree general personal.,0.98,5.14
56,documentary,2018-02-05,Company medical perhaps can simple.,0.6000000000000001,1.05
57,comedy,1996-10-02,Term fear example actually.,2.9000000000000004,4.69
58,scifi,2012-05-24,Last benefit we wish want father.,1.41,5.2
59,documentary,1986-11-06,Machine yourself international human option relationship style.,3.0,8.21
60,comedy,2004-04-12,Skill record give middle there friend.,1.97,0.25
61,romance,2010-08-26,Job me which action pick difficult what.,1.23,1.66
62,romance,2001-07-28,Itself history none question rich economy difficult.,1.52,4.66
63,scifi,1983-05-06,Most catch organization everybody new sure energy program.,0.33,4.6
64,romance,2012-06-02,Health notice speak.,1.3,9.7
65,comedy,2021-01-02,End administration democratic there yes.,3.1500000000000004,9.76
66,romance,1985-12-16,Read already western friend term everyone season.,3.06,3.82
67,documentary,1985-12-18,Report me theory support.,2.15,9.4
68,documentary,1981-06-09,Most create but perhaps size eat.,2.73,2.08
69,scifi,2012-02-26,Modern international across better add democratic.,0.8800000000000001,9.64
70,documentary,2010-04-14,Enough measure subject.,0.53,0.9
71,documentary,1995-05-27,However tend somebody road behind.,3.0500000000000003,8.64
72,scifi,2002-11-09,That government along point wonder.,0.75,3.16
73,comedy,1996-10-20,Item begin to piece.,2.56,5.54
74,documentary,2007-01-02,Hard yourself move heart.,2.5500000000000003,5.01
75,romance,1986-08-27,Job any lay order upon affect sort.,0.8400000000000001,3.56
76,scifi,1988-09-19,Level machine party wonder.,3.06,3.12
77,scifi,2009-07-27,Relate because scene later section.,2.5,9.07
78,documentary,2015-05-14,Model few begin scene significant control.,2.6900000000000004,7.22
79,romance,2020-01-11,Look live grow southern federal.,2.99,1.6
80,scifi,1995-07-06,Piece stuff benefit purpose eat.,2.1,3.54
81,documentary,2007-04-20,Bank drop buy defense magazine notice something.,2.77,0.64
82,romance,2009-05-31,Special person three mission them best.,2.5700000000000003,9.93
83,documentary,1977-06-05,Professional young community detail.,1.46,8.07
84,comedy,1991-02-05,Write me just visit center training minute.,2.29,7.47
85,romance,1998-10-14,Lead send Congress audience if.,0.22,9.25
86,documentary,2010-04-23,Interview ball mouth religious partner I through.,2.4400000000000004,4.73
87,romance,1986-11-06,Color floor source enough cost question social.,1.53,4.08
88,scifi,1986-08-04,Dog performance if.,1.07,4.46
89,romance,1999-12-02,Pretty rather politics explain you.,2.1,8.16
90,romance,1991-12-17,American that behavior leader lot arm than take.,0.8400000000000001,6.8
91,comedy,2008-12-31,Itself page decide agent.,2.5100000000000002,5.91
92,scifi,1989-03-28,Sell pressure whole somebody us structure.,2.04,3.02
93,romance,1988-04-21,Though discover past order cold prove school.,1.05,4.08
94,scifi,1985-06-01,Political need group top whole staff.,0.21000000000000002,3.2
95,romance,1986-02-04,Left government account.,2.64,3.52
96,romance,1998-07-17,Cost international bank report agent his town.,2.5700000000000003,9.68
97,scifi,1985-03-03,Figure watch environmental recently most physical travel.,1.78,3.35
98,romance,2001-10-28,Act just identify consumer over.,1.47,8.08
99,scifi,1996-08-20,Suggest pretty enjoy couple.,2.74,7.16
100,comedy,1996-02-24,Know animal west part agree interest.,3.04,9.4
101,scifi,2001-01-30,Only east perform seat.,2.2800000000000002,0.76
102,scifi,1986-09-03,Spend carry professor laugh fact reveal day ahead.,0.22,5.63
103,documentary,1984-02-10,Camera enter maybe bit others.,1.75,2.78
104,scifi,2003-11-04,State serve drop environmental respond.,0.25,1.99
105,romance,2019-08-05,Make instead administration far nearly available road clearly.,0.48000000000000004,0.35
106,comedy,2014-09-25,Smile writer heart how.,2.14,9.59
107,scifi,1985-07-18,Lot compare to father environmental direction.,1.04,3.34
108,comedy,1993-08-26,Knowledge first character nothing avoid.,1.99,6.73
109,romance,2012-04-28,Stand realize matter letter keep.,1.8299999999999998,2.3
